Fish Name,Fish Family,Region,Season,Is Sustainable,Best Month,Worst Month,Number of Fish per m2,Population Number,Fish Consumption Rate (kg/year),Mortality Rate (%),Cause of Threatening,Threatened,Pollution Level,Threat Level Percentage
Anthias,Serranidae,East Coast,Summer,Yes,November,February,1.48,2431,34.38,7.752388678,Overfishing,No,2,65.61686242
Clownfish,Pomacentridae,East Coast,Fall,No,October,July,3.09,2768,23.73,7.083217846,Pollution,No,1,100
Grouper,Serranidae,East Coast,Winter,Yes,February,December,1.7,739,5.4,14.81897088,Climate Change,Yes,9,100
Mackerel,Scombridae,West Coast,Winter,Yes,November,October,3.54,446,10.41,15.30833867,,Yes,10,100
Grayling,Salmonidae,Both Coasts,Spring,Yes,February,October,3.17,998,27.06,10.97322849,Habitat Destruction,Yes,6,39.89422303
Chromis,Pomacentridae,East Coast,Spring,Yes,September,October,4.34,897,19.99,9.970283919,,Yes,7,40.72516151
Chromis,Pomacentridae,East Coast,Winter,No,March,January,1.92,732,42.76,14.23627542,Habitat Destruction,Yes,10,100
Mackerel,Scombridae,West Coast,Spring,No,March,December,3.01,2533,44.73,2.675528286,,No,1,100
Jobfish,Lutjanidae,West Coast,Winter,Yes,November,July,4.86,527,47.65,16.02227376,,Yes,10,100
Comber,Serranidae,East Coast,Fall,No,June,July,4.87,751,40.08,19.79542876,Habitat Destruction,Yes,9,100
Mahogany Snapper,Lutjanidae,West Coast,Fall,Yes,November,January,2.1,291,17.18,13.98397552,Habitat Destruction,Yes,8,63.32201283
Anthias,Serranidae,East Coast,Summer,Yes,March,April,1.27,674,40.52,18.60461255,Climate Change,Yes,8,100
Tuna,Scombridae,West Coast,Summer,No,March,May,2.58,1735,4.13,2.052120195,,No,4,100
Damselfish,Pomacentridae,East Coast,Fall,No,September,November,3.1,1576,19.92,3.622249349,,No,4,100
Sole,Pleuronectidae,West Coast,Spring,No,January,May,4.09,2091,3.39,5.644376679,Habitat Destruction,No,3,100
Emperor,Lutjanidae,West Coast,Fall,No,February,May,1.08,124,30.63,16.34283619,Climate Change,Yes,8,100
Mahogany Snapper,Lutjanidae,West Coast,Summer,Yes,July,November,4.47,912,47.3,8.967101422,,Yes,7,100
Halibut,Pleuronectidae,West Coast,Fall,No,November,June,3.47,432,29.3,12.13353323,Climate Change,Yes,10,100
Kingfish,Scombridae,West Coast,Summer,Yes,September,August,4.63,149,46.18,18.41050283,Climate Change,Yes,9,78.97566662
Comber,Serranidae,East Coast,Fall,No,March,November,0.19,1090,32.88,9.969811491,,No,6,55.62619609
Kingfish,Scombridae,West Coast,Spring,Yes,July,May,3.68,813,12.07,8.931330215,Overfishing,Yes,7,58.85281979
Bonito,Scombridae,West Coast,Summer,Yes,June,December,3.68,3000,26.13,4.525802303,Overfishing,No,3,100
Char,Salmonidae,Both Coasts,Spring,No,May,October,0.87,2346,12.46,3.271818558,Climate Change,No,2,44.67499509
Grouper,Serranidae,East Coast,Spring,Yes,December,June,3.42,2008,47.67,5.897718695,Pollution,No,1,100
